seed,experiment,p95_critical_latency_sec,stale_data_ratio,trusted_stale_exposure,priority_inversion_rate,kill_chain_delay_sec,recovery_instability,mission_impact,delivered_count,dropped_count,critical_delivered_count,attack_count,defense_count
2031,E2_fixed_attack,43.2,0.5,0.5,0.5717299578059072,73.2,0.0,0.7629999999999999,333.0,1.0,77.0,1.0,0.0
2031,E3_rule_aura,177.39999999999998,0.25,0.25,0.8256410256410256,192.39999999999998,0.0,0.8250000000000001,141.0,1.0,30.0,5.0,0.0
2031,E4_rule_aura_basic_defense,2.0,0.5,0.125,0.03614457831325301,9.5,0.0,0.10015562248995984,329.0,2.0,76.0,5.0,22.0
2031,E5_rule_aura_tsra_r,2.0,0.5,0.125,0.27435064935064934,9.5,3.0,0.269258658008658,333.0,8.0,71.0,5.0,21.0
2031,E6_ml_aura_tsra_r,2.0,0.5,0.125,0.02949438202247191,9.5,3.0,0.14683052434456928,357.0,6.0,84.0,5.0,23.0
2031,E7_ml_aura_ml_tsra_r,2.0,0.5,0.125,0.05857142857142857,9.5,3.0,0.16136904761904763,358.0,8.0,76.0,5.0,29.0
2032,E1_baseline,3.0,0.5,0.5,0.35454545454545455,33.0,0.0,0.4722727272727273,354.0,3.0,76.0,0.0,0.0
2032,E2_fixed_attack,46.0,0.5,0.5,0.6283524904214559,76.0,0.0,0.7816666666666666,362.0,7.0,87.0,1.0,0.0
2032,E3_rule_aura,170.5,0.25,0.25,0.8223844282238443,185.5,0.0,0.8250000000000001,150.0,4.0,32.0,5.0,0.0
2032,E4_rule_aura_basic_defense,2.0,0.5,0.125,0.014084507042253521,9.5,0.0,0.08912558685446009,315.0,5.0,75.0,5.0,22.0
2032,E5_rule_aura_tsra_r,2.0,0.5,0.125,0.02857142857142857,9.5,3.0,0.14636904761904762,357.0,10.0,74.0,5.0,22.0
2032,E6_ml_aura_tsra_r,2.0,0.5,0.125,0.025495750708215296,9.5,3.0,0.14483120868744098,344.0,16.0,85.0,5.0,25.0
2032,E7_ml_aura_ml_tsra_r,5.449999999999974,0.5,0.125,0.06568364611260054,12.949999999999974,3.0,0.18792515638963342,358.0,11.0,78.0,5.0,33.0
