seed,condition,disabled_action,experiment,p95_critical_latency_sec,stale_data_ratio,trusted_stale_exposure,priority_inversion_rate,kill_chain_delay_sec,recovery_instability,mission_impact,delivered_count,dropped_count,critical_delivered_count,attack_count,defense_count
2032,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,2.0,0.5,0.125,0.014084507042253521,9.5,0.0,0.08912558685446009,315.0,5.0,75.0,5.0,22.0
2033,full,none,tsra_ablation_full,2.0,0.5,0.125,0.0109717868338558,9.5,2.0,0.12090256008359457,351.0,13.0,78.0,5.0,24.0
2033,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,2.0,0.5,0.125,0.5045731707317073,9.5,3.0,0.33208333333333334,345.0,8.0,67.0,5.0,17.0
2033,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,1.0,0.5,0.125,0.010174418604651164,8.5,1.0,0.0971705426356589,349.0,10.0,69.0,5.0,15.0
2033,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,2.0,0.5,0.5,0.0109717868338558,32.0,2.0,0.32715256008359456,351.0,13.0,78.0,5.0,16.0
2033,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,2.0,0.5,0.125,0.025041736227045076,9.5,0.0,0.09460420144685587,341.0,5.0,80.0,5.0,20.0
2034,full,none,tsra_ablation_full,2.0,0.5,0.125,0.024691358024691357,9.5,2.0,0.12776234567901235,325.0,9.0,70.0,5.0,23.0
2034,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,2.799999999999997,0.5,0.125,0.418212478920742,10.299999999999997,3.0,0.33741666666666664,346.0,9.0,85.0,5.0,15.0
2034,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,2.0,0.75,0.1875,0.006747638326585695,13.25,2.0,0.1531654858299595,333.0,10.0,60.0,5.0,16.0
2034,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,2.0,0.5,0.5,0.024691358024691357,32.0,2.0,0.33401234567901233,325.0,9.0,70.0,5.0,14.0
