threshold,runs,mission_impact_mean,mission_impact_std,p95_critical_latency_sec_mean,trusted_stale_exposure_mean,priority_inversion_rate_mean,defense_count_mean,ml_alert_count_mean,core_defense_count_mean,pre_first_defense_events_mean,first_ml_alert_latency_sec_mean,alert_active_overlap_rate_mean,opened_window_count_mean,no_op_count_mean,below_threshold_count_mean,above_threshold_count_mean,avg_trace_probability_mean,max_trace_probability_mean,tuning_status,interpretation,safety_boundary
0.55,10,0.15671,0.0160326,2.315,0.13125,0.0515114,31.2,9.2,22,0,19,1,44.3,39.7,16.7,44.3,0.770788,0.977687,usable,lower threshold opens reactive windows more readily; status=usable; impact_mean=0.157; alert_mean=9.20; first_alert_latency_mean=19.0s; no_op_mean=39.7,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.65,10,0.15671,0.0160326,2.315,0.13125,0.0515114,31.2,9.2,22,0,19,1,44.3,39.7,16.7,44.3,0.770788,0.977687,usable,lower threshold opens reactive windows more readily; status=usable; impact_mean=0.157; alert_mean=9.20; first_alert_latency_mean=19.0s; no_op_mean=39.7,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.75,10,0.15671,0.0160326,2.315,0.13125,0.0515114,31.2,9.2,22,0,19,1,44.3,39.7,16.7,44.3,0.770788,0.977687,usable,baseline threshold balances alert timing and no-op evidence; status=usable; impact_mean=0.157; alert_mean=9.20; first_alert_latency_mean=19.0s; no_op_mean=39.7,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.85,10,0.15671,0.0160326,2.315,0.13125,0.0515114,31.1,9.1,22,0,19,1,44.3,39.5,16.8,44.2,0.770788,0.977687,usable,higher threshold requires stronger anomaly probability before action; status=usable; impact_mean=0.157; alert_mean=9.10; first_alert_latency_mean=19.0s; no_op_mean=39.5,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
0.95,10,0.17848,0.0522167,4.9,0.13125,0.0639186,27.5,5.7,21.8,0,24.5,1,27.7,42,35,26,0.762522,0.977719,watch,higher threshold requires stronger anomaly probability before action; status=watch; impact_mean=0.178; alert_mean=5.70; first_alert_latency_mean=24.5s; no_op_mean=42.0,"closed simulation ML threshold sweep only; no RF, exploit, or live network action"
