condition,disabled_action,mission_impact_mean,mission_impact_std,p95_critical_latency_sec_mean,p95_critical_latency_sec_std,trusted_stale_exposure_mean,trusted_stale_exposure_std,priority_inversion_rate_mean,priority_inversion_rate_std,kill_chain_delay_sec_mean,kill_chain_delay_sec_std,recovery_instability_mean,recovery_instability_std,delivered_count_mean,delivered_count_std,critical_delivered_count_mean,critical_delivered_count_std,defense_count_mean,defense_count_std,delta_mission_impact_mean,delta_mission_impact_std,delta_p95_critical_latency_sec_mean,delta_p95_critical_latency_sec_std,delta_trusted_stale_exposure_mean,delta_trusted_stale_exposure_std,delta_priority_inversion_rate_mean,delta_priority_inversion_rate_std,delta_kill_chain_delay_sec_mean,delta_kill_chain_delay_sec_std,delta_recovery_instability_mean,delta_recovery_instability_std,delta_delivered_count_mean,delta_delivered_count_std,delta_critical_delivered_count_mean,delta_critical_delivered_count_std,delta_defense_count_mean,delta_defense_count_std
full,none,0.12392756988095324,0.01937994018155818,1.8899999999999997,0.336667235688605,0.12916666666666668,0.0158567582314039,0.04723847309523984,0.027145445035576973,9.639999999999999,1.0370215972213155,1.0,0.0,344.23333333333335,13.553682114118464,75.66666666666667,8.388552681598537,21.966666666666665,1.5862193902556443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_priority_reroute,priority_reroute,0.33196666666666663,0.030698348124715207,6.294999999999997,3.618161802294943,0.13333333333333333,0.027135780340956542,0.5198944668720226,0.036952533064039214,14.294999999999996,4.242302359609083,1.0,0.0,337.06666666666666,12.760211146597346,75.06666666666666,8.325007334917897,15.6,0.6214554662658655,0.20803909678571342,0.036667540280693786,4.404999999999998,3.571157206439312,0.004166666666666667,0.032551903735136736,0.4726559937767828,0.04634905582507125,4.654999999999998,4.382141462014139,0.0,0.0,-7.166666666666667,15.658165950057505,-0.6,10.36772179277655,-6.366666666666666,1.6914252984479938
no_video_throttle,video_throttle,0.11072338039296677,0.011594381745644188,1.5649999999999997,0.5131293444521865,0.125,0.0,0.029746760785933555,0.019634231086463158,9.065,0.5131293444521868,1.0,0.0,342.0,14.936647825930091,74.86666666666666,7.872839970137984,16.166666666666668,0.912870929175277,-0.013204189487986474,0.013941895928940542,-0.325,0.4721100835975464,-0.004166666666666667,0.015856758231403905,-0.01749171230930628,0.019524883315348265,-0.575,1.0559968325448847,0.0,0.0,-2.2333333333333334,15.221770555706545,-0.8,9.596694833333919,-5.8,1.6897255439251382
no_stale_badge,stale_badge,0.3287192365476199,0.015932245072929983,1.8899999999999997,0.336667235688605,0.5166666666666667,0.0634270329256156,0.04723847309523984,0.027145445035576973,32.89,3.850154497571807,1.0,0.0,344.23333333333335,13.553682114118464,75.66666666666667,8.388552681598537,13.633333333333333,1.401559066215889,0.20479166666666665,0.005549865380991369,0.0,0.0,0.3875,0.047570274694211705,0.0,0.0,23.25,2.8542164816527027,0.0,0.0,0.0,0.0,0.0,0.0,-8.333333333333334,0.4794633014853842
no_pace_switch,pace_switch,0.10678014332730316,0.015969479119799776,2.1333333333333333,0.43417248545530474,0.125,0.0,0.04761584221016188,0.031003767646563,9.633333333333333,0.4341724854553047,0.0,0.0,329.46666666666664,10.288035680387175,74.8,6.087862429910619,21.9,1.3982747990981976,-0.017147426553650084,0.019702616530642512,0.2433333333333337,0.5834991554131126,-0.004166666666666667,0.015856758231403905,0.0003773691149220414,0.03083912023488292,-0.006666666666666288,0.9242642305185741,-1.0,0.0,-14.766666666666667,12.024926219096425,-0.8666666666666667,8.480132291312495,-0.06666666666666667,2.1803722132942687
