seed,condition,experiment,p95_critical_latency_sec,stale_data_ratio,trusted_stale_exposure,priority_inversion_rate,kill_chain_delay_sec,recovery_instability,mission_impact,delivered_count,dropped_count,critical_delivered_count,attack_count,defense_count,priority_reroute_count,video_throttle_count,stale_badge_count,pace_switch_count
2040,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,2.0,0.5,0.125,0.01032448377581121,9.5,1.0,0.1039122418879056,352.0,4.0,69.0,5.0,18.0,7.0,3.0,7.0,1.0
2041,full_tsra_r,adaptive_memory_full_tsra_r,2.0,0.5,0.125,0.056338028169014086,9.5,3.0,0.1602523474178404,356.0,6.0,80.0,5.0,25.0,6.0,7.0,9.0,3.0
2041,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,2.0,0.5,0.125,0.0366412213740458,9.5,1.0,0.11707061068702289,334.0,7.0,76.0,5.0,19.0,7.0,3.0,8.0,1.0
2042,full_tsra_r,adaptive_memory_full_tsra_r,2.0,0.5,0.125,0.036308623298033284,9.5,3.0,0.15023764498234998,341.0,9.0,73.0,5.0,24.0,6.0,6.0,9.0,3.0
2042,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,2.0,0.5,0.125,0.03338391502276176,9.5,1.0,0.11544195751138087,348.0,3.0,67.0,5.0,17.0,5.0,2.0,9.0,1.0
2043,full_tsra_r,adaptive_memory_full_tsra_r,2.0,0.75,0.1875,0.0998439937597504,13.25,3.0,0.21638033021320852,340.0,11.0,68.0,5.0,23.0,4.0,7.0,9.0,3.0
2043,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,2.0,0.5,0.125,0.046686746987951805,9.5,1.0,0.12209337349397589,345.0,12.0,69.0,5.0,22.0,7.0,4.0,10.0,1.0
2044,full_tsra_r,adaptive_memory_full_tsra_r,2.0,0.5,0.125,0.0624048706240487,9.5,3.0,0.16328576864535768,342.0,8.0,79.0,5.0,26.0,8.0,7.0,8.0,3.0
2044,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,1.8999999999999915,0.5,0.125,0.048265460030165915,9.399999999999991,1.0,0.12221606334841623,335.0,4.0,83.0,5.0,16.0,5.0,2.0,8.0,1.0
2045,full_tsra_r,adaptive_memory_full_tsra_r,1.0,0.5,0.125,0.014423076923076924,8.5,3.0,0.1326282051282051,384.0,10.0,83.0,5.0,26.0,7.0,7.0,9.0,3.0
2045,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,1.0,0.5,0.125,0.016506189821182942,8.5,1.0,0.10033642824392479,389.0,7.0,99.0,5.0,22.0,9.0,5.0,7.0,1.0
2046,full_tsra_r,adaptive_memory_full_tsra_r,2.0,0.5,0.125,0.0624048706240487,9.5,3.0,0.16328576864535768,365.0,4.0,86.0,5.0,23.0,6.0,6.0,8.0,3.0
2046,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,1.0,0.5,0.125,0.03067484662576687,8.5,1.0,0.10742075664621675,340.0,6.0,80.0,5.0,20.0,7.0,5.0,7.0,1.0
2047,full_tsra_r,adaptive_memory_full_tsra_r,1.0,0.5,0.125,0.09819967266775777,8.5,3.0,0.17451650300054555,351.0,4.0,71.0,5.0,23.0,5.0,6.0,9.0,3.0
2047,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,2.0,0.5,0.125,0.014705882352941176,9.5,1.0,0.10610294117647058,365.0,4.0,83.0,5.0,17.0,6.0,3.0,7.0,1.0
2048,full_tsra_r,adaptive_memory_full_tsra_r,2.0,0.5,0.125,0.09104938271604938,9.5,3.0,0.177608024691358,333.0,15.0,64.0,5.0,21.0,5.0,6.0,7.0,3.0
2048,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,1.0,0.5,0.125,0.033381712626995644,8.5,1.0,0.10877418964683114,354.0,4.0,73.0,5.0,20.0,8.0,3.0,8.0,1.0
2049,full_tsra_r,adaptive_memory_full_tsra_r,2.0,0.5,0.125,0.02826379542395693,9.5,3.0,0.1462152310453118,351.0,7.0,68.0,5.0,26.0,7.0,7.0,9.0,3.0
2049,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,2.0,0.5,0.125,0.0420032310177706,9.5,1.0,0.11975161550888529,333.0,11.0,71.0,5.0,19.0,7.0,3.0,8.0,1.0
2050,full_tsra_r,adaptive_memory_full_tsra_r,2.0,0.5,0.125,0.06092124814264487,9.5,3.0,0.16254395740465577,356.0,16.0,74.0,5.0,22.0,5.0,6.0,8.0,3.0
2050,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,1.0,0.5,0.125,0.03417533432392273,8.5,1.0,0.10917100049529468,349.0,7.0,78.0,5.0,19.0,6.0,3.0,9.0,1.0
2051,full_tsra_r,adaptive_memory_full_tsra_r,2.0,0.5,0.125,0.022189349112426034,9.5,3.0,0.14317800788954635,362.0,12.0,75.0,5.0,24.0,7.0,6.0,8.0,3.0
2051,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,2.0,0.5,0.125,0.02336448598130841,9.5,1.0,0.1104322429906542,361.0,4.0,90.0,5.0,20.0,8.0,3.0,8.0,1.0
2052,full_tsra_r,adaptive_memory_full_tsra_r,2.0,0.5,0.125,0.13253012048192772,9.5,3.0,0.19834839357429718,362.0,10.0,89.0,5.0,21.0,4.0,6.0,8.0,3.0
2052,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,1.0,0.5,0.125,0.03308270676691729,8.5,1.0,0.10862468671679197,338.0,5.0,69.0,5.0,19.0,7.0,3.0,8.0,1.0
2053,full_tsra_r,adaptive_memory_full_tsra_r,2.0,0.5,0.125,0.06430868167202572,9.5,3.0,0.1642376741693462,341.0,10.0,74.0,5.0,24.0,7.0,6.0,8.0,3.0
2053,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,1.5999999999999943,0.5,0.125,0.06607929515418502,9.099999999999994,1.0,0.12912298091042582,343.0,3.0,69.0,5.0,16.0,4.0,2.0,9.0,1.0
2054,full_tsra_r,adaptive_memory_full_tsra_r,1.0,0.5,0.125,0.0063532401524777635,8.5,3.0,0.12859328674290554,379.0,3.0,65.0,5.0,26.0,8.0,7.0,8.0,3.0
2054,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,1.0499999999999972,0.5,0.125,0.025718608169440244,8.549999999999997,1.0,0.10527597075138675,353.0,1.0,60.0,5.0,18.0,6.0,3.0,8.0,1.0
2055,full_tsra_r,adaptive_memory_full_tsra_r,2.0,0.5,0.125,0.03840245775729647,9.5,3.0,0.15128456221198155,353.0,13.0,85.0,5.0,24.0,7.0,6.0,8.0,3.0
2055,adaptive_tsra_r,adaptive_memory_adaptive_tsra_r,2.0,0.5,0.125,0.04084967320261438,9.5,1.0,0.11917483660130718,335.0,14.0,69.0,5.0,21.0,7.0,4.0,9.0,1.0
