experiment,attack_event_id,attack_time_sec,attack_type,target_link,aura_trace_id,aura_candidate_count,aura_selected_score,aura_selection_link_status,tsra_probability_at_attack,tsra_active_window_before_attack,first_above_threshold_latency_sec,peak_probability_in_response_window,first_ml_alert_latency_sec,first_core_defense_latency_sec,coordination_class,impact_reduction_from_peak,interaction_class,interaction_status,interaction_signal,safety_boundary
E7_ml_aura_ml_tsra_r,ml-atk-00001,60,queue_pressure,SATCOM,aura-ml-trace-00007,4,0.579505,linked,0.266695,false,20,0.958644,20,20,ml_reactive_window,0.205612,ml_triggered_after_attack,pass,aura_link=linked; aura_candidates=4; first_above_threshold_latency=20; first_ml_alert_latency=20; first_core_defense_latency=20; peak_probability=0.958644; issues=none,"closed simulation ML red-blue interaction audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,ml-atk-00002,110,failover_chasing,LTE,aura-ml-trace-00012,6,0.841793,linked,0.971653,true,0,0.974431,20,5,prepositioned_defense,0.0213565,active_window_bounded_refresh,pass,aura_link=linked; aura_candidates=6; first_above_threshold_latency=0; first_ml_alert_latency=20; first_core_defense_latency=5; peak_probability=0.974431; issues=none,"closed simulation ML red-blue interaction audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,ml-atk-00003,160,queue_pressure,LTE,aura-ml-trace-00017,6,0.918255,linked,0.969074,true,0,0.97963,20,0,prepositioned_defense,0.05886,active_window_immediate_core_defense,pass,aura_link=linked; aura_candidates=6; first_above_threshold_latency=0; first_ml_alert_latency=20; first_core_defense_latency=0; peak_probability=0.97963; issues=none,"closed simulation ML red-blue interaction audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,ml-atk-00004,210,failover_chasing,MESH,aura-ml-trace-00022,5,0.745517,linked,0.93095,true,0,0.939345,20,0,prepositioned_defense,0.0206573,active_window_immediate_core_defense,pass,aura_link=linked; aura_candidates=5; first_above_threshold_latency=0; first_ml_alert_latency=20; first_core_defense_latency=0; peak_probability=0.939345; issues=none,"closed simulation ML red-blue interaction audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,ml-atk-00005,260,failover_chasing,LTE,aura-ml-trace-00027,5,0.708246,linked,0.941744,true,0,0.963056,20,10,prepositioned_defense,0.0367162,active_window_bounded_refresh,pass,aura_link=linked; aura_candidates=5; first_above_threshold_latency=0; first_ml_alert_latency=20; first_core_defense_latency=10; peak_probability=0.963056; issues=none,"closed simulation ML red-blue interaction audit only; no RF, exploit, or live network action"
