experiment,trace_file,agent,policy,trace_count,trace_id_unique,trace_id_sequence_ok,time_monotonic,observation_count_expected,decision_count_expected,last_selected_chain_checked,last_selected_chain_matched,last_selected_chain_match_rate,tool_invocation_count,tool_error_count,candidate_action_coverage,non_noop_count,selected_event_count,runtime_components,status,issues,safety_boundary
E3_rule_aura,aura_decision_traces.jsonl,AURA,rule_attack_score,31,true,true,true,true,true,30,30,1,53,0,0.16129,5,5,"observation, memory, tool, candidate_actions, selected_action, feedback, reason",pass,,"closed simulation agent-runtime invariant audit only; no RF, exploit, or live network action"
E4_rule_aura_basic_defense,aura_decision_traces.jsonl,AURA,rule_attack_score,31,true,true,true,true,true,30,30,1,51,0,0.16129,5,5,"observation, memory, tool, candidate_actions, selected_action, feedback, reason",pass,,"closed simulation agent-runtime invariant audit only; no RF, exploit, or live network action"
E4_rule_aura_basic_defense,tsra_r_decision_traces.jsonl,TSRA-R,rule_defense_basic,61,true,true,true,true,true,60,60,1,61,0,1,21,24,"observation, memory, tool, candidate_actions, selected_action, feedback, reason",pass,,"closed simulation agent-runtime invariant audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,aura_decision_traces.jsonl,AURA,rule_attack_score,31,true,true,true,true,true,30,30,1,55,0,0.16129,5,5,"observation, memory, tool, candidate_actions, selected_action, feedback, reason",pass,,"closed simulation agent-runtime invariant audit only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,tsra_r_decision_traces.jsonl,TSRA-R,rule_defense_full,61,true,true,true,true,true,60,60,1,62,0,1,19,22,"observation, memory, tool, candidate_actions, selected_action, feedback, reason",pass,,"closed simulation agent-runtime invariant audit only; no RF, exploit, or live network action"
E6_ml_aura_tsra_r,aura_decision_traces.jsonl,AURA-ML,ml_impact_predictor,31,true,true,true,true,true,30,30,1,80,0,0.16129,5,5,"observation, memory, tool, candidate_actions, selected_action, feedback, reason",pass,,"closed simulation agent-runtime invariant audit only; no RF, exploit, or live network action"
E6_ml_aura_tsra_r,tsra_r_decision_traces.jsonl,TSRA-R,rule_defense_full,61,true,true,true,true,true,60,60,1,63,0,1,21,23,"observation, memory, tool, candidate_actions, selected_action, feedback, reason",pass,,"closed simulation agent-runtime invariant audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,aura_decision_traces.jsonl,AURA-ML,ml_impact_predictor,31,true,true,true,true,true,30,30,1,83,0,0.16129,5,5,"observation, memory, tool, candidate_actions, selected_action, feedback, reason",pass,,"closed simulation agent-runtime invariant audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra_r_decision_traces.jsonl,TSRA-R-ML,ml_anomaly_detector,61,true,true,true,true,true,60,60,1,122,0,1,24,34,"observation, memory, tool, candidate_actions, selected_action, feedback, reason",pass,,"closed simulation agent-runtime invariant audit only; no RF, exploit, or live network action"
